R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
1.7099759,173.010056,175.919494,180.43025,184.941006,187.850444,1,0,0,0,180.43025,168.475897,172.492591,187.741875
1.7152869,172.907111,175.814818,180.32289,184.830962,187.738669,1,0,0,0,180.32289,168.438391,172.562732,187.743094
1.7206143,172.801472,175.707402,180.21272,184.718038,187.623968,1,0,0,0,180.21272,168.3989,172.631831,187.742511
1.7259583,172.693108,175.597216,180.099709,184.602202,187.50631,1,0,0,0,180.099709,168.357402,172.699881,187.740109
1.7313188,172.581995,175.484234,179.98383,184.483426,187.385665,1,0,0,0,179.98383,168.31388,172.766872,187.735871
1.7366961,172.4681,175.368424,179.86505,184.361676,187.262,1,0,0,0,179.86505,168.268312,172.832795,187.729778
1.74209,172.351398,175.249759,179.743343,184.236927,187.135288,1,0,0,0,179.743343,168.22068,172.897639,187.721815
1.7475006,172.23186,175.128211,179.618678,184.109145,187.005496,1,0,0,0,179.618678,168.170964,172.961394,187.711964
1.7529281,172.178333,175.073784,179.562855,184.051926,186.947377,1,0,0,0,179.562855,168.160838,173.04184,187.741707
1.7583724,172.181782,175.077291,179.566452,184.055613,186.951122,1,0,0,0,179.566452,168.184798,173.1366,187.805543
1.7638337,172.183599,175.079138,179.568347,184.057556,186.953095,1,0,0,0,179.568347,168.207355,173.230522,187.868139
1.7693119,172.183769,175.079312,179.568525,184.057738,186.953281,1,0,0,0,179.568525,168.228494,173.323596,187.929485
1.7748071,172.182279,175.077797,179.566971,184.056145,186.951663,1,0,0,0,179.566971,168.248202,173.415816,187.989569
1.7803194,172.17911,175.074574,179.563666,184.052758,186.948222,1,0,0,0,179.563666,168.266468,173.507175,188.048379
1.7858488,172.174249,175.069631,179.558596,184.047561,186.942943,1,0,0,0,179.558596,168.283276,173.597662,188.105904
1.7913954,172.167679,175.06295,179.551744,184.040538,186.935809,1,0,0,0,179.551744,168.298614,173.687272,188.162132
1.7969592,172.159382,175.054515,179.543092,184.031669,186.926802,1,0,0,0,179.543092,168.312469,173.775995,188.217051
1.8025403,172.149345,175.044308,179.532624,184.02094,186.915903,1,0,0,0,179.532624,168.324825,173.863823,188.27065
1.8081387,172.137551,175.032316,179.520324,184.008332,186.903097,1,0,0,0,179.520324,168.335671,173.950748,188.322915
1.8137545,172.123982,175.018519,179.506173,183.993827,186.888364,1,0,0,0,179.506173,168.34499,174.036761,188.373835
1.8193877,172.108621,175.0029,179.490154,183.977408,186.871687,1,0,0,0,179.490154,168.35277,174.121855,188.423398
1.8250385,172.091454,174.985444,179.47225,183.959056,186.853046,1,0,0,0,179.47225,168.358996,174.206021,188.471591
1.8307068,172.07246,174.966131,179.452442,183.938753,186.832424,1,0,0,0,179.452442,168.363653,174.28925,188.518402
1.8363927,172.051625,174.944945,179.430713,183.916481,186.809801,1,0,0,0,179.430713,168.366727,174.371534,188.563817
1.8420962,172.02893,174.921869,179.407045,183.892221,186.78516,1,0,0,0,179.407045,168.368203,174.452863,188.607824
1.8478175,172.004358,174.896884,179.381419,183.865954,186.75848,1,0,0,0,179.381419,168.368066,174.53323,188.65041
1.8535565,171.97789,174.869971,179.353816,183.837661,186.729742,1,0,0,0,179.353816,168.366301,174.612624,188.691563
1.8593134,171.94951,174.841113,179.324218,183.807323,186.698926,1,0,0,0,179.324218,168.362893,174.691038,188.731268
1.8650882,171.919197,174.81029,179.292605,183.77492,186.666013,1,0,0,0,179.292605,168.357827,174.768463,188.769514
1.8708808,171.886935,174.777486,179.25896,183.740434,186.630985,1,0,0,0,179.25896,168.351086,174.844887,188.806285
1.8766915,171.852703,174.742679,179.22326,183.703842,186.593817,1,0,0,0,179.22326,168.342656,174.920305,188.841569
1.8825202,171.816485,174.705851,179.185488,183.665125,186.554491,1,0,0,0,179.185488,168.33252,174.994704,188.875352
1.8883671,171.778259,174.666982,179.145623,183.624264,186.512987,1,0,0,0,179.145623,168.320662,175.068079,188.90762
1.8942321,171.738009,174.626055,179.103646,183.581237,186.469283,1,0,0,0,179.103646,168.307066,175.140416,188.93836
1.9001153,171.695712,174.583047,179.059535,183.536023,186.423358,1,0,0,0,179.059535,168.291715,175.211708,188.967556
1.9060167,171.65135,174.537939,179.013271,183.488603,186.375192,1,0,0,0,179.013271,168.274594,175.281944,188.995195
1.9119365,171.604904,174.490712,178.964833,183.438954,186.324762,1,0,0,0,178.964833,168.255685,175.351115,189.021263
1.9178747,171.556352,174.441343,178.914198,183.387053,186.272044,1,0,0,0,178.914198,168.234971,175.419213,189.045745
1.9238313,171.505674,174.389813,178.861347,183.332881,186.21702,1,0,0,0,178.861347,168.212436,175.486225,189.068626
1.9298065,171.45285,174.336101,178.806257,183.276413,186.159664,1,0,0,0,178.806257,168.188061,175.552144,189.089893
1.9358002,171.397859,174.280185,178.748908,183.217631,186.099957,1,0,0,0,178.748908,168.16183,175.616958,189.109529
1.9418125,171.34068,174.222044,178.689276,183.156508,186.037872,1,0,0,0,178.689276,168.133725,175.680657,189.127519
1.9478434,171.281291,174.161656,178.62734,183.093024,185.973389,1,0,0,0,178.62734,168.103728,175.743231,189.143848
1.9538932,171.219669,174.098999,178.563076,183.027153,185.906483,1,0,0,0,178.563076,168.07182,175.804672,189.158502
1.9599617,171.155796,174.034051,178.496463,182.958875,185.83713,1,0,0,0,178.496463,168.037984,175.864966,189.171464
1.966049,171.089647,173.96679,178.427477,182.888164,185.765307,1,0,0,0,178.427477,168.002201,175.924104,189.182719
1.9721553,171.0212,173.897192,178.356094,182.814996,185.690988,1,0,0,0,178.356094,167.964452,175.982076,189.192251
1.9782805,170.950432,173.825234,178.282291,182.739348,185.61415,1,0,0,0,178.282291,167.924719,176.03887,189.200043
1.9844247,170.877321,173.750894,178.206045,182.661196,185.534769,1,0,0,0,178.206045,167.882982,176.094477,189.206081
