R_kpc,Baryonic_target_p5,Baryonic_target_p16,Baryonic_target_p50,Baryonic_target_p84,Baryonic_target_p95,Baryonic target_min,Baryonic target_max
3.0918736,172.458509,177.730804,192.527524,199.927944,205.737385,172.458509,205.737385
3.1014765,172.505223,177.745835,192.676285,200.101248,205.838632,172.505223,205.838632
3.1111093,172.550201,177.758859,192.824534,200.274768,205.939157,172.550201,205.939157
3.1207719,172.593425,177.769872,192.972263,200.448509,206.038954,172.593425,206.038954
3.1304645,172.634874,177.778866,193.11947,200.622477,206.13802,172.634874,206.13802
3.1401873,172.674531,177.785837,193.266149,200.796678,206.236349,172.674531,206.236349
3.1499402,172.712374,177.790777,193.412294,200.971116,206.333935,172.712374,206.333935
3.1597235,172.748385,177.80068,193.557902,201.145799,206.430772,172.748385,206.430772
3.1695371,172.782543,177.824586,193.702967,201.320729,206.526854,172.782543,206.526854
3.1793812,172.814827,177.846681,193.847483,201.495911,206.622175,172.814827,206.622175
3.1892559,172.84522,177.866955,193.983176,201.671353,206.716728,172.84522,206.716728
3.1991612,172.873699,177.885394,194.11676,201.847055,206.810508,172.873699,206.810508
3.2090974,172.900245,177.901989,194.249668,202.023026,206.903507,172.900245,206.903507
3.2190643,172.924838,177.91673,194.381892,202.199266,206.995719,172.924838,206.995719
3.2290623,172.947455,177.929602,194.513425,202.375782,207.087136,172.947455,207.087136
3.2390912,172.968078,178.041157,194.64426,202.552575,207.177751,172.968078,207.177751
3.2491514,172.986685,178.152574,194.774395,202.729653,207.267559,172.986685,207.267559
3.2592428,172.974722,178.217286,194.798419,202.775522,207.294313,172.974722,207.294313
3.2693655,172.958281,178.276195,194.811086,202.807639,207.313603,172.958281,207.313603
