arm,color,label,lw,segment,x_disp,y_disp
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.049225,-7.5793126
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0463985,-7.5611709
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0434646,-7.5430382
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0404233,-7.5249152
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0372747,-7.5068025
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0340187,-7.4887008
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0306553,-7.4706106
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0271847,-7.4525327
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0236068,-7.4344677
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0199216,-7.4164162
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0161292,-7.3983787
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0122296,-7.3803561
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0082229,-7.3623488
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0041091,-7.3443576
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9998883,-7.326383
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9955604,-7.3084257
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9911257,-7.2904864
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9865841,-7.2725656
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9819356,-7.254664
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9771805,-7.2367822
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9723186,-7.2189209
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9673502,-7.2010807
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9622753,-7.1832622
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9570939,-7.1654661
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9518063,-7.1476929
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9464123,-7.1299434
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9409122,-7.1122182
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9353061,-7.0945178
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.929594,-7.076843
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.923776,-7.0591943
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9178524,-7.0415724
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9118231,-7.0239779
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9056882,-7.0064114
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.899448,-6.9888736
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8931026,-6.9713651
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.886652,-6.9538866
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8800964,-6.9364386
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8734359,-6.9190217
